Student_ID,High_School,High_School_Grad_Year,Graduated,Final_Grad_Date,Total_Enrollments,First_Enrollment,Last_Enrollment,College_Code_1,College_Code_2,College_Code_3,College_Code_4,College_Code_5,College_Code_6,College_Code_7,College_Code_8,College_Code_9,College_Code_10,College_Name_1,College_Name_2,College_Name_3,College_Name_4,College_Name_5,College_Name_6,College_Name_7,College_Name_8,College_Name_9,College_Name_10,Major_1,Major_2,Major_3,Major_4,Major_5,Major_6,Degree_Title_1,Degree_Title_2,Degree_Title_3,Degree_Title_4,Degree_Title_5,Degree_Title_6,College_State_1,College_State_2,College_State_3,College_State_4,College_State_5,College_State_6,College_State_7,College_State_8,College_State_9,College_State_10,2-Year/4-Year_1,2-Year/4-Year_2,2-Year/4-Year_3,2-Year/4-Year_4,2-Year/4-Year_5,2-Year/4-Year_6,2-Year/4-Year_7,2-Year/4-Year_8,2-Year/4-Year_9,2-Year/4-Year_10,Public/Private_1,Public/Private_2,Public/Private_3,Public/Private_4,Public/Private_5,Public/Private_6,Public/Private_7,Public/Private_8,Public/Private_9,Public/Private_10
382716090,Mountain Crest,2016,Y,2021-08-22,15,2016-08-22,2021-08-22,003678-00,003678-00,003592-00,003678-00,003592-00,003678-00,003678-00,003678-00,003678-00,003678-00,SOUTHERN UTAH UNIVERSITY,SOUTHERN UTAH UNIVERSITY,MIDWESTERN STATE UNIVERSITY,SOUTHERN UTAH UNIVERSITY,MIDWESTERN STATE UNIVERSITY,SOUTHERN UTAH UNIVERSITY,SOUTHERN UTAH UNIVERSITY,SOUTHERN UTAH UNIVERSITY,SOUTHERN UTAH UNIVERSITY,SOUTHERN UTAH UNIVERSITY,CRIMINAL JUSTICE,,,,,,BACHELOR OF SCIENCE,,,,,,UT,UT,TX,UT,TX,UT,UT,UT,UT,UT,4-year,4-year,4-year,4-year,4-year,4-year,4-year,4-year,4-year,4-year,Public,Public,Public,Public,Public,Public,Public,Public,Public,Public
382716312,Sky View,2016,N,,7,2016-08-24,2019-04-12,003677-00,003677-00,003677-00,001625-81,001625-81,001625-81,001625-81,,,,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,BRIGHAM YOUNG UNIVERSITY - IDAHO SPRING/,BRIGHAM YOUNG UNIVERSITY - IDAHO SPRING/,BRIGHAM YOUNG UNIVERSITY - IDAHO SPRING/,BRIGHAM YOUNG UNIVERSITY - IDAHO SPRING/,,,,,,,,,,,,,,,,UT,UT,UT,ID,ID,ID,ID,,,,4-year,4-year,4-year,4-year,4-year,4-year,4-year,,,,Public,Public,Public,Private,Private,Private,Private,,,
382716321,Green Canyon,2019,Y,2023-05-03,13,2019-08-27,2023-05-03,003929-00,003929-00,003929-00,003929-00,001604-00,001604-00,001604-00,001604-00,003929-00,003929-00,EASTERN WYOMING COLLEGE,EASTERN WYOMING COLLEGE,EASTERN WYOMING COLLEGE,EASTERN WYOMING COLLEGE,YOUNG HARRIS COLLEGE,YOUNG HARRIS COLLEGE,YOUNG HARRIS COLLEGE,YOUNG HARRIS COLLEGE,EASTERN WYOMING COLLEGE,EASTERN WYOMING COLLEGE,BUSINESS ADMINISTRATION,FINANCE,MANAGEMENT,,,,ASSOCIATE,BACHELOR OF SCIENCE,BACHELOR OF SCIENCE,,,,WY,WY,WY,WY,GA,GA,GA,GA,WY,WY,2-year,2-year,2-year,2-year,4-year,4-year,4-year,4-year,2-year,2-year,Public,Public,Public,Public,Private,Private,Private,Private,Public,Public
382716324,Green Canyon,2018,N,,5,2018-08-27,2022-12-16,003677-00,003677-00,003677-00,003677-00,003677-00,,,,,,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,,,,,,,,,,,,,,,,,,UT,UT,UT,UT,UT,,,,,,4-year,4-year,4-year,4-year,4-year,,,,,,Public,Public,Public,Public,Public,,,,,
382716327,Sky View,2017,Y,2020-04-30,8,2017-08-28,2020-04-29,003677-00,003677-00,003677-00,003677-00,003677-00,003677-00,003677-00,003677-00,,,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,,,BUSINESS ADMINISTRATION,,,,,,BACHELOR OF SCIENCE,,,,,,UT,UT,UT,UT,UT,UT,UT,UT,,,4-year,4-year,4-year,4-year,4-year,4-year,4-year,4-year,,,Public,Public,Public,Public,Public,Public,Public,Public,,
382716336,Mountain Crest,2018,Y,2022-05-06,7,2018-08-20,2022-05-06,001620-00,001620-00,001620-00,001620-00,001620-00,001620-00,001620-00,,,,IDAHO STATE UNIVERSITY,IDAHO STATE UNIVERSITY,IDAHO STATE UNIVERSITY,IDAHO STATE UNIVERSITY,IDAHO STATE UNIVERSITY,IDAHO STATE UNIVERSITY,IDAHO STATE UNIVERSITY,,,,DIESEL TECHNOLOGY,,,,,,ASSOCIATE OF APPLIED SCIENCE,,,,,,ID,ID,ID,ID,ID,ID,ID,,,,4-year,4-year,4-year,4-year,4-year,4-year,4-year,,,,Public,Public,Public,Public,Public,Public,Public,,,
382716339,Ridgeline,2018,Y,2024-05-02,12,2020-08-31,2024-05-01,003677-00,003677-00,003677-00,003677-00,003677-00,003677-00,003677-00,003677-00,003677-00,003677-00,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,GENERAL EDUCATION,CONFLICT MGMT. & FACILITATION,COMMUNICATION STUDIES,,,,CERTIFICATE OF COMPLETION,CERTIFICATE OF PROFICIENCY,BACHELOR OF SCIENCE,,,,UT,UT,UT,UT,UT,UT,UT,UT,UT,UT,4-year,4-year,4-year,4-year,4-year,4-year,4-year,4-year,4-year,4-year,Public,Public,Public,Public,Public,Public,Public,Public,Public,Public
382716345,Ridgeline,2018,N,,8,2020-08-31,2024-07-23,003677-00,003677-00,003677-00,003677-00,003677-00,003677-00,003672-00,003672-00,,,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,ENSIGN COLLEGE,ENSIGN COLLEGE,,,,,,,,,,,,,,,UT,UT,UT,UT,UT,UT,UT,UT,,,4-year,4-year,4-year,4-year,4-year,4-year,2-year,2-year,,,Public,Public,Public,Public,Public,Public,Private,Private,,
382716351,Ridgeline,2017,Y,2024-04-25,15,2019-08-26,2024-04-25,003677-00,003677-00,003677-00,003677-00,003677-00,003677-00,003677-00,003677-00,003678-00,003678-00,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,SOUTHERN UTAH UNIVERSITY,SOUTHERN UTAH UNIVERSITY,MANAGEMENT,GENERAL STUDIES,BUSINESS ADMINISTRATION,,,,BACHELOR OF SCIENCE,ASSOCIATE OF SCIENCE,MASTER OF BUSINESS ADMIN,,,,UT,UT,UT,UT,UT,UT,UT,UT,UT,UT,4-year,4-year,4-year,4-year,4-year,4-year,4-year,4-year,4-year,4-year,Public,Public,Public,Public,Public,Public,Public,Public,Public,Public
382716354,Ridgeline,2017,Y,2022-05-05,13,2019-08-19,2024-05-01,003679-00,003679-00,003679-00,003679-00,003679-00,003679-00,004027-00,004027-00,004027-00,004027-00,SNOW COLLEGE,SNOW COLLEGE,SNOW COLLEGE,SNOW COLLEGE,SNOW COLLEGE,SNOW COLLEGE,UTAH VALLEY UNIVERSITY,UTAH VALLEY UNIVERSITY,UTAH VALLEY UNIVERSITY,UTAH VALLEY UNIVERSITY,CONSTRUCTION MANAGEMENT,,,,,,ASSOCIATE OF SCIENCE,,,,,,UT,UT,UT,UT,UT,UT,UT,UT,UT,UT,4-year,4-year,4-year,4-year,4-year,4-year,4-year,4-year,4-year,4-year,Public,Public,Public,Public,Public,Public,Public,Public,Public,Public
